id,total_floor,room_size,bedroom,restroom,car_park,fitness,pool,distance_to_bts,distance_to_shopping,distance_to_trollway,price_facility,bonus_free_gift,cost_estimate,year,price
1,8,26,1,1,1,1,0,2.8,2.5,15,12000,12000,250000,2556,1500000
2,8,26,1,1,0,1,1,0.8,4,1,24000,40000,111000,2559,2400000
3,10,43,1,1,1,1,1,10,15,4,24000,30000,120000,2561,3000000
4,34,35,1,1,1,1,1,0.1,0.1,1,12000,30000,100000,2561,2700000
5,7,41,1,1,1,1,1,1,1,2,24000,20000,140000,2561,2800000
6,26,34,1,1,1,1,1,0.24,0.15,7.4,16320,150000,200000,2556,4480000
7,8,45,1,1,1,1,1,0.36,0.4,1.7,19440,150000,250000,2552,4900000
8,30,83,2,2,0,1,1,1.3,3.4,1,39480,370000,84668,2555,9900000
9,22,37,1,1,0,1,1,0.35,1.3,7,22200,0,128000,2555,7900000
10,8,22.56,1,1,0,1,1,4.8,4.2,18,9432,0,52000,2559,1350000
11,30,33,1,1,0,1,1,1.1,0.9,7.9,12276,0,69697,2557,2300000
12,30,28.5,1,1,0,1,1,0.5,5.9,0,15660,0,94178,2557,2750000
13,8,28.46,1,1,1,1,1,2.7,2.9,8.5,10245,1460000,100000,2555,1650000
14,22,27,1,1,1,1,1,2.2,2,5.3,24000,2900000,100000,2559,2900000
15,22,34,1,1,1,1,1,2.1,2,5.3,18360,4491000,100000,2559,4491000
16,22,63,1,1,2,1,1,2.1,2,5.3,36000,6500000,100000,2559,6500000
17,33,34.5,1,1,1,1,1,6.7,1,6.7,15000,2900000,120000,2558,2900000
18,33,51,2,1,2,1,1,6.7,1,10,15000,3978400,120000,2557,2900000
19,8,27,1,1,1,1,1,1,1.5,13,12312,1500000,170000,2553,1500000
20,8,30.5,1,1,1,1,1,1,1.5,13,13908,1960000,170000,2553,1960000
21,24,24.5,1,1,1,1,1,9.8,1.7,12.6,12000,1290000,170000,2558,1290000
22,18,27,1,1,0,1,1,20,0.8,6.4,4000,70000,100000,2562,1800000
23,8,34,1,1,1,1,1,2,3,8,12000,200000,120000,2559,1800000
24,30,27.8,1,1,0,1,1,1.3,1.5,10.2,18348,400000,103900,2561,2890000
25,8,22,3,1,0,1,1,1.1,3.8,4.8,12000,0,79090,2561,1740000
26,8,23,1,1,0,1,1,0.3,1.5,5.4,12000,0,73600,2562,1590000
27,26,23,1,1,0,1,1,0.3,0.1,14.7,9660,0,85000,2559,2200000
28,8,26.5,1,1,0,1,1,2.3,0.9,5.1,18132,0,86000,2562,1890000
29,8,32,1,1,0,1,1,4.2,2.1,7,17600,100000,90000,2559,1390000
30,21,33,2,2,0,1,1,0.1,1.3,6.5,17820,100000,85000,2559,2300000
31,30,35,1,1,0,1,1,0.35,1.5,2.6,17820,100000,145000,2559,3300000
32,8,28,1,1,0,1,1,7,5,1,17820,0,100000,2558,1620000
33,21,26,1,1,0,1,1,0.55,3,7.7,10140,150000,175000,2558,1990000
